,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Foreign
146,39,female,2,own,little,little,860,6,car,good,1.0
147,51,female,2,own,moderate,,682,12,car,good,1.0
148,28,male,2,own,little,little,5371,36,furniture/equipment,good,1.0
149,46,male,2,own,rich,,1582,18,radio/TV,good,1.0
150,42,male,2,free,moderate,,1346,6,radio/TV,good,1.0
151,38,male,2,own,little,,1924,10,radio/TV,good,1.0
152,24,male,2,own,little,rich,5848,36,radio/TV,good,1.0
153,29,female,2,rent,rich,moderate,7758,24,car,good,1.0
154,36,male,3,rent,moderate,moderate,6967,24,business,good,1.0
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,0.0
156,48,male,2,own,moderate,little,1288,9,repairs,good,1.0
157,45,male,1,own,little,little,339,12,education,good,1.0
158,38,male,2,own,moderate,moderate,3512,24,car,good,1.0
159,34,male,1,own,,,1898,6,radio/TV,good,1.0
160,36,male,2,own,moderate,,2872,24,radio/TV,good,1.0
161,30,female,2,own,little,,1055,18,car,good,1.0
162,36,male,2,own,quite rich,,1262,15,domestic appliances,good,1.0
163,70,male,3,free,little,moderate,7308,10,car,good,1.0
164,36,male,2,own,quite rich,,909,36,car,good,1.0
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good,1.0
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,0.0
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,1.0
168,25,female,2,rent,little,,3972,24,furniture/equipment,good,1.0
169,31,male,2,own,little,moderate,1935,24,business,bad,0.0
170,33,male,2,rent,little,little,950,15,car,bad,0.0
171,26,female,2,own,little,,763,12,furniture/equipment,good,1.0
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,0.0
173,33,male,2,own,little,moderate,1414,8,radio/TV,good,1.0
174,26,male,2,own,little,little,3414,21,education,bad,0.0
175,53,female,3,own,,,7485,30,car,bad,0.0
176,42,male,2,own,little,little,2577,12,furniture/equipment,good,1.0
177,52,male,2,own,quite rich,little,338,6,radio/TV,good,1.0
178,31,male,3,rent,little,,1963,12,radio/TV,good,1.0
179,65,male,2,own,little,little,571,21,car,good,1.0
180,28,male,2,own,little,,9572,36,business,bad,0.0
181,30,male,3,own,little,moderate,4455,36,business,bad,0.0
182,40,male,1,own,,little,1647,21,car,bad,0.0
183,50,male,2,own,rich,,3777,24,furniture/equipment,good,1.0
184,36,male,2,own,little,moderate,884,18,car,bad,0.0
185,31,male,2,own,little,,1360,15,radio/TV,good,1.0
186,74,female,3,free,little,moderate,5129,9,car,bad,0.0
187,68,male,0,free,little,moderate,1175,16,car,good,1.0
188,20,male,2,own,moderate,little,674,12,radio/TV,bad,0.0
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,1.0
190,54,male,3,own,rich,,4591,24,business,bad,0.0
191,34,male,1,free,moderate,moderate,3844,48,business,bad,0.0
192,36,male,2,own,little,moderate,3915,27,business,bad,0.0
193,29,male,2,rent,little,,2108,6,radio/TV,good,1.0
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,0.0
195,34,female,3,own,little,moderate,1501,9,education,bad,0.0
196,28,female,2,own,little,,1382,6,radio/TV,good,1.0
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,0.0
198,36,male,2,free,,moderate,2760,24,car,good,1.0
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,0.0
200,52,male,2,own,quite rich,,936,9,education,good,1.0
201,27,male,1,own,little,little,1168,12,car,good,1.0
202,26,male,2,own,little,,5117,27,business,good,1.0
203,21,male,2,rent,little,little,902,12,education,bad,0.0
204,38,male,1,own,little,,1495,12,car,good,1.0
205,38,male,3,free,little,little,10623,30,car,good,1.0
206,43,male,2,own,little,,1935,12,furniture/equipment,good,1.0
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,1.0
208,21,male,1,own,little,little,6568,24,business,good,1.0
209,55,male,2,own,rich,,1413,12,car,good,1.0
210,33,male,2,own,,,3074,9,radio/TV,good,1.0
211,45,female,1,own,,,3835,36,radio/TV,good,1.0
212,50,male,2,own,little,little,5293,27,business,bad,0.0
213,66,male,3,own,little,rich,1908,30,business,bad,0.0
214,51,male,2,own,,,3342,36,radio/TV,good,1.0
215,39,female,1,own,,moderate,932,6,education,good,1.0
216,31,male,2,own,little,little,3104,18,business,good,1.0
217,23,male,2,own,little,rich,3913,36,radio/TV,good,1.0
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,1.0
219,64,female,2,own,little,,1364,10,car,good,1.0
220,26,male,1,own,little,moderate,625,12,radio/TV,good,1.0
221,23,female,2,rent,,little,1200,12,education,good,1.0
222,30,male,2,own,little,,707,12,radio/TV,good,1.0
223,32,male,2,own,,,2978,24,business,good,1.0
224,30,male,2,own,little,,4657,15,car,good,1.0
225,27,male,2,own,little,,2613,36,repairs,good,1.0
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,0.0
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,0.0
228,22,male,2,own,little,,1478,9,radio/TV,bad,0.0
229,22,male,2,free,little,little,3149,24,furniture/equipment,good,1.0
230,26,male,2,own,little,rich,4210,36,radio/TV,bad,0.0
231,51,male,1,free,quite rich,,2507,9,car,good,1.0
232,35,male,2,own,moderate,,2141,12,radio/TV,good,1.0
233,25,male,1,own,little,moderate,866,18,radio/TV,good,1.0
234,42,male,1,own,little,,1544,4,radio/TV,good,1.0
235,30,male,3,own,little,little,1823,24,radio/TV,bad,0.0
236,23,male,0,own,,moderate,14555,6,car,bad,0.0
237,61,male,1,rent,moderate,moderate,2767,21,business,bad,0.0
238,35,female,2,own,little,,1291,12,radio/TV,good,1.0
239,39,male,2,own,little,little,2522,30,radio/TV,good,1.0
240,29,female,2,own,,little,915,24,car,bad,0.0
241,51,male,2,own,little,,1595,6,radio/TV,good,1.0
242,24,male,2,free,little,little,4605,48,car,bad,0.0
243,27,female,2,own,little,,1185,12,business,good,1.0
244,35,female,1,own,quite rich,,3447,12,education,good,1.0
245,25,male,2,own,little,,1258,24,business,good,1.0
246,52,male,2,own,little,,717,12,radio/TV,good,1.0
247,35,male,2,rent,moderate,,1204,6,car,good,1.0
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,1.0
249,22,female,2,rent,little,,433,18,radio/TV,bad,0.0
250,39,female,1,own,rich,little,666,6,car,good,1.0
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,1.0
252,24,female,2,own,little,moderate,2150,30,car,bad,0.0
253,35,male,2,own,moderate,,4151,24,furniture/equipment,good,1.0
254,24,male,2,own,,moderate,2030,9,furniture/equipment,good,1.0
255,27,male,1,own,,moderate,7418,60,radio/TV,good,1.0
256,35,male,1,own,little,,2684,24,radio/TV,good,1.0
257,29,male,2,free,little,little,2149,12,radio/TV,bad,0.0
258,23,female,2,own,moderate,,3812,15,car,good,1.0
259,57,female,1,own,moderate,,1154,11,radio/TV,good,1.0
260,27,male,2,own,little,little,1657,12,furniture/equipment,good,1.0
261,55,female,2,own,little,little,1603,24,radio/TV,good,1.0
262,36,male,3,free,little,little,5302,18,car,good,1.0
263,57,female,1,free,little,,2748,12,education,good,1.0
264,32,male,1,own,little,,1231,10,car,good,1.0
265,37,male,2,own,little,moderate,802,15,radio/TV,bad,0.0
266,36,male,2,own,,,6304,36,business,good,1.0
267,38,female,2,own,little,,1533,24,radio/TV,good,1.0
268,45,male,3,own,little,little,8978,14,car,bad,0.0
269,25,male,2,own,,,999,24,radio/TV,good,1.0
270,32,male,2,own,,,2662,18,car,good,1.0
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good,1.0
272,36,male,3,free,,moderate,12169,48,car,good,1.0
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,0.0
274,34,male,1,own,little,little,11998,30,repairs,bad,0.0
275,32,male,2,own,little,,2697,9,radio/TV,good,1.0
276,26,female,2,own,little,,2404,18,radio/TV,good,1.0
277,49,male,1,own,,little,1262,12,furniture/equipment,good,1.0
278,32,female,2,own,little,,4611,6,furniture/equipment,bad,0.0
279,29,male,3,rent,moderate,,1901,24,radio/TV,good,1.0
280,23,male,2,rent,rich,,3368,15,car,good,1.0
281,50,male,2,own,little,,1574,12,furniture/equipment,good,1.0
282,49,male,1,own,,rich,1445,18,radio/TV,good,1.0
283,63,male,2,own,,,1520,15,furniture/equipment,good,1.0
284,37,male,2,own,moderate,moderate,3878,24,car,good,1.0
285,35,female,1,own,little,little,10722,47,car,good,1.0
286,26,male,2,own,little,little,4788,48,car,good,1.0
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good,1.0
288,49,female,2,own,little,moderate,1092,12,radio/TV,good,1.0
289,48,male,2,own,little,little,1024,24,radio/TV,bad,0.0
290,26,male,2,own,little,,1076,12,business,good,1.0
291,28,male,3,rent,little,moderate,9398,36,car,bad,0.0
292,44,female,3,free,little,little,6419,24,car,good,1.0
293,56,male,2,free,little,rich,4796,42,car,good,1.0
294,46,male,3,own,,,7629,48,business,good,1.0
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,0.0
296,20,female,2,rent,,,4675,12,car,good,1.0
297,45,male,1,own,,,1287,10,car,good,1.0
298,43,male,2,own,little,,2515,18,furniture/equipment,good,1.0
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,1.0
300,54,female,0,own,little,,672,6,car,good,1.0
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad,0.0
302,37,male,1,own,,rich,1344,24,car,bad,0.0
303,49,male,2,own,little,little,1038,10,car,good,1.0
304,44,male,2,free,quite rich,,10127,48,car,bad,0.0
305,33,male,2,own,rich,,1543,6,furniture/equipment,good,1.0
306,24,female,1,rent,,,4811,30,car,good,1.0
307,33,male,1,own,moderate,little,727,12,radio/TV,bad,0.0
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,0.0
309,22,male,1,rent,little,moderate,276,9,car,good,1.0
310,40,male,0,free,,moderate,5381,48,vacation/others,good,1.0
311,25,male,2,own,moderate,,5511,24,furniture/equipment,good,1.0
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,1.0
313,25,male,1,own,little,moderate,685,12,car,bad,0.0
314,29,male,1,own,,rich,1494,4,car,good,1.0
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,0.0
316,38,male,1,own,little,little,708,12,furniture/equipment,good,1.0
317,48,female,1,own,,moderate,4351,24,furniture/equipment,good,1.0
318,32,male,2,own,little,,701,12,education,good,1.0
319,27,female,1,own,little,little,3643,15,furniture/equipment,good,1.0
320,28,male,3,own,little,moderate,4249,30,car,bad,0.0
321,32,male,2,own,little,little,1938,24,radio/TV,bad,0.0
322,34,male,3,free,little,little,2910,24,car,good,1.0
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good,1.0
324,36,female,2,own,little,,1028,18,car,good,1.0
325,39,male,1,own,little,little,3398,8,car,good,1.0
326,49,male,2,rent,,,5801,12,furniture/equipment,good,1.0
327,34,female,2,own,rich,,1525,24,car,good,1.0
328,31,male,2,own,little,rich,4473,36,radio/TV,good,1.0
329,28,male,2,own,little,moderate,1068,6,radio/TV,good,1.0
330,75,male,3,free,little,little,6615,24,car,good,1.0
331,30,female,2,own,moderate,,1864,18,education,bad,0.0
332,24,female,3,own,moderate,moderate,7408,60,car,bad,0.0
333,24,female,1,rent,moderate,,11590,48,car,bad,0.0
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad,0.0
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad,0.0
336,23,female,1,own,little,moderate,2101,13,radio/TV,good,1.0
337,24,female,2,rent,,little,1275,15,domestic appliances,bad,0.0
338,28,male,2,own,little,little,4169,24,furniture/equipment,good,1.0
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good,1.0
340,24,female,2,free,little,moderate,5743,24,education,good,1.0
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good,1.0
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,1.0
343,33,male,3,own,little,moderate,4439,18,business,good,1.0
344,37,male,1,own,little,rich,3949,10,car,good,1.0
345,43,female,1,own,little,,1459,15,radio/TV,good,1.0
346,23,male,2,own,little,moderate,882,13,radio/TV,good,1.0
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,1.0
348,34,male,1,own,moderate,,1743,6,business,good,1.0
349,32,male,2,free,rich,moderate,1136,9,education,bad,0.0
350,23,female,2,rent,little,,1236,9,domestic appliances,good,1.0
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,0.0
352,38,male,3,own,,,3229,18,car,good,1.0
353,28,male,2,rent,little,little,6199,12,radio/TV,bad,0.0
354,46,male,2,free,quite rich,,727,10,education,good,1.0
355,23,male,1,own,little,moderate,1246,24,car,bad,0.0
356,49,male,2,own,,,2331,12,radio/TV,good,1.0
357,26,male,3,own,little,,4463,36,radio/TV,bad,0.0
358,28,male,2,own,little,,776,12,radio/TV,good,1.0
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad,0.0
360,61,male,2,free,,moderate,1239,18,education,good,1.0
361,37,male,3,own,,rich,3399,12,radio/TV,good,1.0
362,36,female,2,own,little,rich,2247,12,car,good,1.0
363,21,male,2,rent,little,,1766,6,furniture/equipment,good,1.0
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,0.0
365,36,male,2,own,little,,1542,12,business,good,1.0
366,27,male,2,own,little,,3850,18,car,good,1.0
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,1.0
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad,0.0
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,1.0
370,36,male,2,own,,,3079,36,car,good,1.0
371,33,male,2,own,little,,6070,18,radio/TV,good,1.0
372,23,female,2,rent,little,,2146,10,furniture/equipment,good,1.0
373,63,male,3,free,,,13756,60,car,good,1.0
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,0.0
375,37,female,2,rent,little,little,7685,48,business,bad,0.0
376,34,male,2,own,little,,2320,18,radio/TV,good,1.0
377,36,male,2,free,,,846,7,radio/TV,good,1.0
378,57,male,3,free,little,moderate,14318,36,car,bad,0.0
379,52,female,1,own,moderate,,362,6,car,good,1.0
380,39,male,2,own,,little,2212,20,furniture/equipment,good,1.0
381,38,female,3,free,little,moderate,12976,18,car,bad,0.0
382,25,female,2,rent,,,1283,22,car,good,1.0
383,26,male,2,own,little,rich,1330,12,car,good,1.0
384,26,male,1,own,moderate,,4272,30,business,good,1.0
385,25,female,2,own,little,,2238,18,radio/TV,good,1.0
386,21,female,2,rent,,,1126,18,radio/TV,good,1.0
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good,1.0
388,27,male,2,own,quite rich,moderate,2326,15,business,good,1.0
389,27,female,2,own,little,,1449,9,business,good,1.0
390,30,male,3,own,little,,1820,18,car,good,1.0
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,1.0
392,39,male,3,free,little,little,3249,36,car,good,1.0
393,31,female,2,own,little,little,1957,6,radio/TV,good,1.0
394,31,male,3,own,little,,2406,9,furniture/equipment,good,1.0
395,32,male,2,rent,moderate,moderate,11760,39,education,good,1.0
396,55,female,3,free,little,little,2578,12,furniture/equipment,good,1.0
397,46,male,2,own,little,little,2348,36,furniture/equipment,good,1.0
398,46,male,2,rent,little,moderate,1223,12,car,bad,0.0
399,43,female,1,own,rich,,1516,24,radio/TV,good,1.0
400,39,male,2,own,little,,1473,18,radio/TV,good,1.0
401,28,male,2,own,,moderate,1887,18,business,good,1.0
402,27,male,2,own,little,,8648,24,business,bad,0.0
403,27,male,1,own,little,,802,14,car,good,1.0
404,43,male,2,own,,moderate,2899,18,car,good,1.0
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad,0.0
406,43,male,2,own,,,2197,24,car,good,1.0
407,27,male,2,own,little,little,1053,15,radio/TV,good,1.0
408,26,male,3,own,quite rich,,3235,24,radio/TV,good,1.0
409,28,male,2,own,quite rich,rich,939,12,car,bad,0.0
410,20,female,2,own,little,moderate,1967,24,radio/TV,good,1.0
411,35,male,3,own,little,,7253,33,car,good,1.0
412,42,male,3,own,little,,2292,12,business,bad,0.0
413,40,male,1,rent,quite rich,,1597,10,car,good,1.0
414,35,female,2,own,,little,1381,24,car,bad,0.0
415,35,male,2,own,little,,5842,36,car,good,1.0
416,33,male,1,own,little,little,2579,12,car,bad,0.0
417,23,female,2,rent,,little,8471,18,education,good,1.0
418,31,female,3,own,quite rich,,2782,21,car,good,1.0
419,33,female,2,own,,moderate,1042,18,car,bad,0.0
420,20,female,2,rent,rich,,3186,15,car,good,1.0
421,30,male,2,own,,moderate,2028,12,car,good,1.0
422,47,male,1,own,little,moderate,958,12,car,good,1.0
423,34,male,3,own,moderate,,1591,21,furniture/equipment,good,1.0
424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad,0.0
425,21,male,2,rent,little,moderate,2779,18,car,good,1.0
426,29,male,2,own,little,,2743,28,radio/TV,good,1.0
427,46,male,2,own,rich,,1149,18,radio/TV,good,1.0
428,20,male,2,own,little,,1313,9,furniture/equipment,good,1.0
429,55,female,0,free,little,little,1190,18,repairs,bad,0.0
430,74,male,1,own,little,,3448,5,business,good,1.0
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad,0.0
432,36,male,3,free,little,little,1872,6,furniture/equipment,good,1.0
433,33,male,2,own,little,,2058,24,repairs,good,1.0
434,25,male,2,own,little,little,2136,9,furniture/equipment,good,1.0
435,25,male,2,own,,moderate,1484,12,radio/TV,bad,0.0
436,23,male,1,rent,quite rich,,660,6,repairs,good,1.0
437,37,female,2,own,rich,,1287,24,car,good,1.0
438,65,male,0,own,little,little,3394,42,repairs,good,1.0
439,26,female,0,own,little,rich,609,12,business,bad,0.0
440,39,male,3,own,little,,1884,12,car,good,1.0
441,30,female,2,own,little,little,1620,12,furniture/equipment,good,1.0
442,29,male,2,own,little,moderate,2629,20,vacation/others,good,1.0
443,41,male,1,own,little,,719,12,education,bad,0.0
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,0.0
445,41,female,1,rent,,,1244,9,education,good,1.0
446,34,female,2,own,little,little,1842,36,car,bad,0.0
447,35,male,2,own,little,moderate,2576,7,radio/TV,good,1.0
448,55,female,3,own,,rich,1424,12,furniture/equipment,good,1.0
449,61,male,2,own,rich,moderate,1512,15,repairs,bad,0.0
450,30,male,3,own,,,11054,36,car,good,1.0
451,29,female,2,own,little,,518,6,radio/TV,good,1.0
452,34,male,2,own,little,,2759,12,furniture/equipment,good,1.0
453,35,male,3,own,little,,2670,24,car,good,1.0
454,31,male,2,own,little,little,4817,24,car,bad,0.0
455,29,female,3,own,little,,2679,24,car,good,1.0
456,36,male,2,rent,little,little,3905,11,car,good,1.0
457,35,male,2,free,little,little,3386,12,car,bad,0.0
